Patch,Champion,Percentile,Effective Winrate
OB42,Ruckus,0.3,0.4827
OB42,Ruckus,0.4,0.4930
OB42,Ruckus,0.5,0.5031
OB42,Ruckus,0.6,0.5138
OB42,Ruckus,0.7,0.5261
OB42,Ruckus,0.8,0.5411
OB42,Ruckus,0.9,0.5585
OB42,Ruckus,0.95,0.5789
OB42,Androxus,0.0,0.4057
OB42,Androxus,0.05,0.4270
OB42,Androxus,0.1,0.4436
OB42,Androxus,0.2,0.4581
OB42,Androxus,0.3,0.4704
OB42,Androxus,0.4,0.4819
OB42,Androxus,0.5,0.4930
OB42,Androxus,0.6,0.5053
OB42,Androxus,0.7,0.5201
OB42,Androxus,0.8,0.5372
OB42,Androxus,0.9,0.5568
OB42,Androxus,0.95,0.5854
OB42,Kinessa,0.0,0.3901
OB42,Kinessa,0.05,0.4073
OB42,Kinessa,0.1,0.4220
OB42,Kinessa,0.2,0.4370
OB42,Kinessa,0.3,0.4496
OB42,Kinessa,0.4,0.4628
OB42,Kinessa,0.5,0.4744
OB42,Kinessa,0.6,0.4854
OB42,Kinessa,0.7,0.4976
OB42,Kinessa,0.8,0.5129
OB42,Kinessa,0.9,0.5348
OB42,Kinessa,0.95,0.5614
OB42,Grover,0.0,0.4244
OB42,Grover,0.05,0.4431
OB42,Grover,0.1,0.4588
OB42,Grover,0.2,0.4727
OB42,Grover,0.3,0.4831
OB42,Grover,0.4,0.4929
OB42,Grover,0.5,0.5022
OB42,Grover,0.6,0.5114
OB42,Grover,0.7,0.5214
OB42,Grover,0.8,0.5346
OB42,Grover,0.9,0.5491
OB42,Grover,0.95,0.5698
OB42,Ying,0.0,0.4273
OB42,Ying,0.05,0.4454
OB42,Ying,0.1,0.4605
OB42,Ying,0.2,0.4744
OB42,Ying,0.3,0.4856
OB42,Ying,0.4,0.4962
OB42,Ying,0.5,0.5062
OB42,Ying,0.6,0.5166
OB42,Ying,0.7,0.5290
OB42,Ying,0.8,0.5449
OB42,Ying,0.9,0.5611
OB42,Ying,0.95,0.5805
OB42,Drogoz,0.0,0.4261
OB42,Drogoz,0.05,0.4497
OB42,Drogoz,0.1,0.4669
OB42,Drogoz,0.2,0.4823
OB42,Drogoz,0.3,0.4948
OB42,Drogoz,0.4,0.5062
OB42,Drogoz,0.5,0.5179
OB42,Drogoz,0.6,0.5303
OB42,Drogoz,0.7,0.5443
OB42,Drogoz,0.8,0.5621
OB42,Drogoz,0.9,0.5806
OB42,Drogoz,0.95,0.6018
OB42,Bomb King,0.0,0.4314
OB42,Bomb King,0.05,0.4517
OB42,Bomb King,0.1,0.4676
OB42,Bomb King,0.2,0.4825
OB42,Bomb King,0.3,0.4943
OB42,Bomb King,0.4,0.5047
OB42,Bomb King,0.5,0.5148
OB42,Bomb King,0.6,0.5262
OB42,Bomb King,0.7,0.5392
OB42,Bomb King,0.8,0.5548
OB42,Bomb King,0.9,0.5723
OB42,Bomb King,0.95,0.5938
OB42,Viktor,0.0,0.4109
OB42,Viktor,0.05,0.4300
OB42,Viktor,0.1,0.4447
OB42,Viktor,0.2,0.4581
OB42,Viktor,0.3,0.4698
OB42,Viktor,0.4,0.4801
OB42,Viktor,0.5,0.4903
OB42,Viktor,0.6,0.5007
OB42,Viktor,0.7,0.5134
OB42,Viktor,0.8,0.5287
OB42,Viktor,0.9,0.5454
OB42,Viktor,0.95,0.5659
OB42,Makoa,0.0,0.4177
OB42,Makoa,0.05,0.4360
OB42,Makoa,0.1,0.4497
OB42,Makoa,0.2,0.4628
OB42,Makoa,0.3,0.4730
OB42,Makoa,0.4,0.4827
OB42,Makoa,0.5,0.4918
OB42,Makoa,0.6,0.5017
OB42,Makoa,0.7,0.5131
OB42,Makoa,0.8,0.5280
OB42,Makoa,0.9,0.5445
OB42,Makoa,0.95,0.5662
OB42,Mal'Damba,0.0,0.4135
OB42,Mal'Damba,0.05,0.4318
OB42,Mal'Damba,0.1,0.4456
OB42,Mal'Damba,0.2,0.4579
OB42,Mal'Damba,0.3,0.4686
OB42,Mal'Damba,0.4,0.4790
OB42,Mal'Damba,0.5,0.4895
OB42,Mal'Damba,0.6,0.4998
OB42,Mal'Damba,0.7,0.5109
OB42,Mal'Damba,0.8,0.5239
OB42,Mal'Damba,0.9,0.5391
OB42,Mal'Damba,0.95,0.5629
OB42,Sha Lin,0.0,0.4103
OB42,Sha Lin,0.05,0.4300
OB42,Sha Lin,0.1,0.4450
OB42,Sha Lin,0.2,0.4582
OB42,Sha Lin,0.3,0.4698
OB42,Sha Lin,0.4,0.4806
OB42,Sha Lin,0.5,0.4917
OB42,Sha Lin,0.6,0.5033
OB42,Sha Lin,0.7,0.5154
OB42,Sha Lin,0.8,0.5306
OB42,Sha Lin,0.9,0.5480
OB42,Sha Lin,0.95,0.5752
OB42,Tyra,0.0,0.4191
OB42,Tyra,0.05,0.4362
OB42,Tyra,0.1,0.4516
OB42,Tyra,0.2,0.4655
OB42,Tyra,0.3,0.4777
OB42,Tyra,0.4,0.4889
OB42,Tyra,0.5,0.4994
OB42,Tyra,0.6,0.5092
OB42,Tyra,0.7,0.5197
OB42,Tyra,0.8,0.5341
OB42,Tyra,0.9,0.5492
OB42,Tyra,0.95,0.5699
OB42,Torvald,0.0,0.4514
OB42,Torvald,0.05,0.4688
OB42,Torvald,0.1,0.4834
OB42,Torvald,0.2,0.4969
OB42,Torvald,0.3,0.5081
OB42,Torvald,0.4,0.5185
OB42,Torvald,0.5,0.5290
OB42,Torvald,0.6,0.5399
OB42,Torvald,0.7,0.5523
OB42,Torvald,0.8,0.5691
OB42,Torvald,0.9,0.5878
OB42,Torvald,0.95,0.6042
OB43,Pip,0.0,0.4133
OB43,Pip,0.05,0.4396
OB43,Pip,0.1,0.4582
OB43,Pip,0.2,0.4749
OB43,Pip,0.3,0.4885
OB43,Pip,0.4,0.5004
OB43,Pip,0.5,0.5122
OB43,Pip,0.6,0.5268
OB43,Pip,0.7,0.5423
OB43,Pip,0.8,0.5614
OB43,Pip,0.9,0.5807
OB43,Pip,0.95,0.6045
OB43,Skye,0.0,0.4081
OB43,Skye,0.05,0.4279
OB43,Skye,0.1,0.4447
OB43,Skye,0.2,0.4611
OB43,Skye,0.3,0.4745
OB43,Skye,0.4,0.4856
OB43,Skye,0.5,0.4966
OB43,Skye,0.6,0.5082
OB43,Skye,0.7,0.5227
OB43,Skye,0.8,0.5402
OB43,Skye,0.9,0.5602
OB43,Skye,0.95,0.5841
OB43,Fernando,0.0,0.4152
OB43,Fernando,0.05,0.4349
OB43,Fernando,0.1,0.4521
OB43,Fernando,0.2,0.4674
OB43,Fernando,0.3,0.4795
OB43,Fernando,0.4,0.4903
OB43,Fernando,0.5,0.5013
OB43,Fernando,0.6,0.5127
OB43,Fernando,0.7,0.5256
OB43,Fernando,0.8,0.5422
OB43,Fernando,0.9,0.5599
OB43,Fernando,0.95,0.5801
OB43,Barik,0.0,0.4141
OB43,Barik,0.05,0.4381
OB43,Barik,0.1,0.4544
OB43,Barik,0.2,0.4699
OB43,Barik,0.3,0.4832
OB43,Barik,0.4,0.4949
OB43,Barik,0.5,0.5064
OB43,Barik,0.6,0.5177
OB43,Barik,0.7,0.5304
OB43,Barik,0.8,0.5456
OB43,Barik,0.9,0.5632
OB43,Barik,0.95,0.5864
OB43,Cassie,0.0,0.3909
OB43,Cassie,0.05,0.4136
OB43,Cassie,0.1,0.4285
OB43,Cassie,0.2,0.4447
OB43,Cassie,0.3,0.4583
OB43,Cassie,0.4,0.4709
OB43,Cassie,0.5,0.4832
OB43,Cassie,0.6,0.4946
OB43,Cassie,0.7,0.5084
OB43,Cassie,0.8,0.5251
OB43,Cassie,0.9,0.5440
OB43,Cassie,0.95,0.5778
OB43,Grohk,0.0,0.4280
OB43,Grohk,0.05,0.4486
OB43,Grohk,0.1,0.4663
OB43,Grohk,0.2,0.4808
OB43,Grohk,0.3,0.4926
OB43,Grohk,0.4,0.5026
OB43,Grohk,0.5,0.5127
OB43,Grohk,0.6,0.5237
OB43,Grohk,0.7,0.5366
OB43,Grohk,0.8,0.5529
OB43,Grohk,0.9,0.5708
OB43,Grohk,0.95,0.5955
OB43,Evie,0.0,0.4005
OB43,Evie,0.05,0.4227
OB43,Evie,0.1,0.4388
OB43,Evie,0.2,0.4548
OB43,Evie,0.3,0.4684
OB43,Evie,0.4,0.4812
OB43,Evie,0.5,0.4944
OB43,Evie,0.6,0.5074
OB43,Evie,0.7,0.5227
OB43,Evie,0.8,0.5402
OB43,Evie,0.9,0.5616
OB43,Evie,0.95,0.5922
OB43,Buck,0.0,0.4174
OB43,Buck,0.05,0.4408
OB43,Buck,0.1,0.4593
OB43,Buck,0.2,0.4742
OB43,Buck,0.3,0.4860
OB43,Buck,0.4,0.4976
OB43,Buck,0.5,0.5092
OB43,Buck,0.6,0.5212
OB43,Buck,0.7,0.5347
OB43,Buck,0.8,0.5547
OB43,Buck,0.9,0.5739
OB43,Buck,0.95,0.5959
OB43,Ruckus,0.0,0.4167
OB43,Ruckus,0.05,0.4363
OB43,Ruckus,0.1,0.4531
OB43,Ruckus,0.2,0.4678
OB43,Ruckus,0.3,0.4802
OB43,Ruckus,0.4,0.4915
OB43,Ruckus,0.5,0.5024
OB43,Ruckus,0.6,0.5139
OB43,Ruckus,0.7,0.5271
OB43,Ruckus,0.8,0.5435
OB43,Ruckus,0.9,0.5616
OB43,Ruckus,0.95,0.5846
OB43,Androxus,0.0,0.3960
OB43,Androxus,0.05,0.4170
OB43,Androxus,0.1,0.4334
OB43,Androxus,0.2,0.4513
OB43,Androxus,0.3,0.4656
OB43,Androxus,0.4,0.4782
OB43,Androxus,0.5,0.4906
OB43,Androxus,0.6,0.5042
OB43,Androxus,0.7,0.5193
OB43,Androxus,0.8,0.5400
OB43,Androxus,0.9,0.5622
OB43,Androxus,0.95,0.5925
OB43,Kinessa,0.0,0.3756
OB43,Kinessa,0.05,0.3964
OB43,Kinessa,0.1,0.4116
OB43,Kinessa,0.2,0.4279
OB43,Kinessa,0.3,0.4413
OB43,Kinessa,0.4,0.4544
OB43,Kinessa,0.5,0.4691
OB43,Kinessa,0.6,0.4825
OB43,Kinessa,0.7,0.4944
OB43,Kinessa,0.8,0.5096
OB43,Kinessa,0.9,0.5349
OB43,Kinessa,0.95,0.5764
OB43,Grover,0.0,0.4165
OB43,Grover,0.05,0.4352
OB43,Grover,0.1,0.4511
OB43,Grover,0.2,0.4663
OB43,Grover,0.3,0.4777
OB43,Grover,0.4,0.4876
OB43,Grover,0.5,0.4981
OB43,Grover,0.6,0.5091
OB43,Grover,0.7,0.5205
OB43,Grover,0.8,0.5351
OB43,Grover,0.9,0.5514
OB43,Grover,0.95,0.5759
OB43,Ying,0.0,0.4196
OB43,Ying,0.05,0.4393
OB43,Ying,0.1,0.4560
OB43,Ying,0.2,0.4717
OB43,Ying,0.3,0.4842
OB43,Ying,0.4,0.4953
OB43,Ying,0.5,0.5064
OB43,Ying,0.6,0.5185
OB43,Ying,0.7,0.5328
OB43,Ying,0.8,0.5496
OB43,Ying,0.9,0.5681
OB43,Ying,0.95,0.5911
OB43,Drogoz,0.0,0.4199
OB43,Drogoz,0.05,0.4440
OB43,Drogoz,0.1,0.4635
OB43,Drogoz,0.2,0.4813
OB43,Drogoz,0.3,0.4959
OB43,Drogoz,0.4,0.5092
OB43,Drogoz,0.5,0.5225
OB43,Drogoz,0.6,0.5371
OB43,Drogoz,0.7,0.5529
OB43,Drogoz,0.8,0.5723
OB43,Drogoz,0.9,0.5915
OB43,Drogoz,0.95,0.6141
OB43,Bomb King,0.0,0.4215
OB43,Bomb King,0.05,0.4430
OB43,Bomb King,0.1,0.4597
OB43,Bomb King,0.2,0.4755
OB43,Bomb King,0.3,0.4893
OB43,Bomb King,0.4,0.5016
OB43,Bomb King,0.5,0.5134
OB43,Bomb King,0.6,0.5260
OB43,Bomb King,0.7,0.5394
OB43,Bomb King,0.8,0.5568
OB43,Bomb King,0.9,0.5752
OB43,Bomb King,0.95,0.5967
OB43,Viktor,0.0,0.3992
OB43,Viktor,0.05,0.4201
OB43,Viktor,0.1,0.4355
OB43,Viktor,0.2,0.4503
OB43,Viktor,0.3,0.4630
OB43,Viktor,0.4,0.4747
OB43,Viktor,0.5,0.4858
OB43,Viktor,0.6,0.4976
OB43,Viktor,0.7,0.5106
OB43,Viktor,0.8,0.5265
OB43,Viktor,0.9,0.5435
OB43,Viktor,0.95,0.5656
OB43,Makoa,0.0,0.4085
OB43,Makoa,0.05,0.4274
OB43,Makoa,0.1,0.4429
OB43,Makoa,0.2,0.4567
OB43,Makoa,0.3,0.4681
OB43,Makoa,0.4,0.4788
OB43,Makoa,0.5,0.4893
OB43,Makoa,0.6,0.5001
OB43,Makoa,0.7,0.5130
OB43,Makoa,0.8,0.5293
OB43,Makoa,0.9,0.5478
OB43,Makoa,0.95,0.5710
OB43,Mal'Damba,0.0,0.4027
OB43,Mal'Damba,0.05,0.4230
OB43,Mal'Damba,0.1,0.4388
OB43,Mal'Damba,0.2,0.4529
OB43,Mal'Damba,0.3,0.4641
OB43,Mal'Damba,0.4,0.4745
OB43,Mal'Damba,0.5,0.4852
OB43,Mal'Damba,0.6,0.4959
OB43,Mal'Damba,0.7,0.5086
OB43,Mal'Damba,0.8,0.5243
OB43,Mal'Damba,0.9,0.5423
OB43,Mal'Damba,0.95,0.5700
OB43,Sha Lin,0.0,0.4014
OB43,Sha Lin,0.05,0.4228
OB43,Sha Lin,0.1,0.4386
OB43,Sha Lin,0.2,0.4544
OB43,Sha Lin,0.3,0.4674
OB43,Sha Lin,0.4,0.4792
OB43,Sha Lin,0.5,0.4911
OB43,Sha Lin,0.6,0.5037
OB43,Sha Lin,0.7,0.5179
OB43,Sha Lin,0.8,0.5351
OB43,Sha Lin,0.9,0.5555
OB43,Sha Lin,0.95,0.5840
OB43,Tyra,0.0,0.4144
OB43,Tyra,0.05,0.4336
OB43,Tyra,0.1,0.4511
OB43,Tyra,0.2,0.4674
OB43,Tyra,0.3,0.4807
OB43,Tyra,0.4,0.4930
OB43,Tyra,0.5,0.5042
OB43,Tyra,0.6,0.5159
OB43,Tyra,0.7,0.5290
OB43,Tyra,0.8,0.5460
OB43,Tyra,0.9,0.5653
OB43,Tyra,0.95,0.5904
OB43,Torvald,0.0,0.4476
OB43,Torvald,0.05,0.4679
OB43,Torvald,0.1,0.4838
OB43,Torvald,0.2,0.4988
OB43,Torvald,0.3,0.5115
OB43,Torvald,0.4,0.5237
OB43,Torvald,0.5,0.5357
OB43,Torvald,0.6,0.5486
OB43,Torvald,0.7,0.5635
OB43,Torvald,0.8,0.5817
OB43,Torvald,0.9,0.5978
OB43,Torvald,0.95,0.6147
OB43,Maeve,0.0,0.4101
OB43,Maeve,0.05,0.4314
OB43,Maeve,0.1,0.4485
OB43,Maeve,0.2,0.4646
OB43,Maeve,0.3,0.4779
OB43,Maeve,0.4,0.4893
OB43,Maeve,0.5,0.5008
OB43,Maeve,0.6,0.5132
OB43,Maeve,0.7,0.5278
OB43,Maeve,0.8,0.5463
OB43,Maeve,0.9,0.5682
OB43,Maeve,0.95,0.5938
OB44,Pip,0.0,0.4003
OB44,Pip,0.05,0.4241
OB44,Pip,0.1,0.4443
OB44,Pip,0.2,0.4621
OB44,Pip,0.3,0.4767
OB44,Pip,0.4,0.4907
OB44,Pip,0.5,0.5047
OB44,Pip,0.6,0.5183
OB44,Pip,0.7,0.5350
OB44,Pip,0.8,0.5545
OB44,Pip,0.9,0.5784
OB44,Pip,0.95,0.6054
OB44,Skye,0.0,0.4033
OB44,Skye,0.05,0.4253
OB44,Skye,0.1,0.4433
OB44,Skye,0.2,0.4606
